network,policy,X0_frac,I0,beta_I,ratio,T,X_final_mean,X_final_median,X_final_sd,P_high,t_to_0p8_mean,t_to_0p8_mean_cond,t80_censored_mean,t80_censored_median,dP_high,dX_final,dt80_cens,dt80_cond,cost,dP_per_cost
grid,baseline,0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,0.0,
grid,"subsidy[0-60,da0=0.2]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,12.0,0.0
grid,"subsidy[0-60,da0=0.4]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,24.0,0.0
grid,"subsidy[0-60,da0=0.6]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,36.0,0.0
grid,"subsidy[20-80,da0=0.2]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,12.0,0.0
grid,"subsidy[20-80,da0=0.4]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,24.0,0.0
grid,"subsidy[20-80,da0=0.6]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,36.0,0.0
grid,"subsidy[60-120,da0=0.2]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,12.0,0.0
grid,"subsidy[60-120,da0=0.4]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,24.0,0.0
grid,"subsidy[60-120,da0=0.6]",0.05,0.05,2.0,2.1,250,0.20081632653061224,0.0,0.3996116398753483,0.2,7.6,7.6,202.32,251.0,0.0,0.0,0.0,0.0,36.0,0.0
grid,"seed[t=10,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,10.24,10.24,10.24,11.0,0.8,0.7991836734693878,-192.07999999999998,2.6400000000000006,0.02,40.0
grid,"seed[t=10,frac=0.05]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,10.24,10.24,10.24,11.0,0.8,0.7991836734693878,-192.07999999999998,2.6400000000000006,0.05,16.0
grid,"seed[t=10,frac=0.1]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,9.44,9.44,9.44,10.0,0.8,0.7991836734693878,-192.88,1.8399999999999999,0.1,8.0
grid,"seed[t=40,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,34.32,34.32,34.32,41.0,0.8,0.7991836734693878,-168.0,26.72,0.02,40.0
grid,"seed[t=40,frac=0.05]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,34.32,34.32,34.32,41.0,0.8,0.7991836734693878,-168.0,26.72,0.05,16.0
grid,"seed[t=40,frac=0.1]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,33.52,33.52,33.52,40.0,0.8,0.7991836734693878,-168.79999999999998,25.92,0.1,8.0
grid,"seed[t=80,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,66.32,66.32,66.32,81.0,0.8,0.7991836734693878,-136.0,58.71999999999999,0.02,40.0
grid,"seed[t=80,frac=0.05]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,66.32,66.32,66.32,81.0,0.8,0.7991836734693878,-136.0,58.71999999999999,0.05,16.0
grid,"seed[t=80,frac=0.1]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,65.52,65.52,65.52,80.0,0.8,0.7991836734693878,-136.8,57.919999999999995,0.1,8.0
small_world,baseline,0.15,0.05,2.0,2.1,250,0.24,0.0,0.4270831300812524,0.24,7.166666666666667,7.166666666666667,192.48,251.0,0.0,0.0,0.0,0.0,0.0,
small_world,"subsidy[0-60,da0=0.2]",0.15,0.05,2.0,2.1,250,0.24,0.0,0.4270831300812524,0.24,6.5,6.5,192.32,251.0,0.0,0.0,-0.1599999999999966,-0.666666666666667,12.0,0.0
small_world,"subsidy[0-60,da0=0.4]",0.15,0.05,2.0,2.1,250,0.4,0.0,0.48989794855663565,0.4,5.2,5.2,152.68,251.0,0.16000000000000003,0.16000000000000003,-39.79999999999998,-1.9666666666666668,24.0,0.006666666666666668
small_world,"subsidy[0-60,da0=0.6]",0.15,0.05,2.0,2.1,250,0.44,0.0,0.4963869458396343,0.44,5.0,5.0,142.76,251.0,0.2,0.2,-49.72,-2.166666666666667,36.0,0.005555555555555556
