network,policy,X0_frac,I0,beta_I,ratio,T,X_final_mean,X_final_median,X_final_sd,P_high,t_to_0p8_mean,t_to_0p8_mean_cond,t80_censored_mean,t80_censored_median,dP_high,dX_final,dt80_cens,dt80_cond,cost,dP_per_cost
BA,"seed[t=10,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,6.090909090909091,6.090909090909091,35.48,10.0,0.48,0.4780000000000001,-115.36000000000001,5.490909090909091,0.05,9.6
BA,"seed[t=40,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,22.454545454545453,22.454545454545453,49.88,40.0,0.48,0.4780000000000001,-100.96000000000001,21.854545454545452,0.05,9.6
BA,"seed[t=80,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,44.27272727272727,44.27272727272727,69.08,80.0,0.48,0.4780000000000001,-81.76,43.67272727272727,0.05,9.6
BA,"seed[t=10,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,6.24,6.24,6.24,10.0,0.6,0.5834,-144.6,5.640000000000001,0.1,5.999999999999999
BA,"seed[t=40,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,24.24,24.24,24.24,40.0,0.6,0.5834,-126.60000000000001,23.639999999999997,0.1,5.999999999999999
ER,"seed[t=10,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,9.25,9.25,134.96,251.0,0.31999999999999995,0.2874,-76.28,6.75,0.1,3.1999999999999993
ER,"seed[t=40,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,29.25,29.25,144.56,251.0,0.31999999999999995,0.2874,-66.68,26.75,0.1,3.1999999999999993
ER,"seed[t=80,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,55.916666666666664,55.916666666666664,157.36,251.0,0.31999999999999995,0.2874,-53.879999999999995,53.416666666666664,0.1,3.1999999999999993
ER,"seed[t=10,frac=0.05]",0.35,0.05,2.0,2.1,250,0.30839999999999995,0.07,0.4332821713387247,0.28,7.714285714285714,7.714285714285714,182.88,251.0,0.12000000000000002,0.10219999999999993,-28.360000000000014,5.214285714285714,0.05,2.4000000000000004
ER,"seed[t=40,frac=0.05]",0.35,0.05,2.0,2.1,250,0.30839999999999995,0.07,0.4332821713387247,0.28,20.428571428571427,20.428571428571427,186.44,251.0,0.12000000000000002,0.10219999999999993,-24.80000000000001,17.928571428571427,0.05,2.4000000000000004
grid,"seed[t=10,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,10.24,10.24,10.24,11.0,0.8,0.7991836734693878,-192.07999999999998,2.6400000000000006,0.02,40.0
grid,"seed[t=40,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,34.32,34.32,34.32,41.0,0.8,0.7991836734693878,-168.0,26.72,0.02,40.0
grid,"seed[t=80,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,66.32,66.32,66.32,81.0,0.8,0.7991836734693878,-136.0,58.71999999999999,0.02,40.0
grid,"seed[t=10,frac=0.05]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,10.24,10.24,10.24,11.0,0.8,0.7991836734693878,-192.07999999999998,2.6400000000000006,0.05,16.0
grid,"seed[t=40,frac=0.05]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,34.32,34.32,34.32,41.0,0.8,0.7991836734693878,-168.0,26.72,0.05,16.0
small_world,"seed[t=10,frac=0.1]",0.15,0.05,2.0,2.1,250,0.52,1.0,0.4995998398718719,0.52,12.076923076923077,12.076923076923077,126.76,17.0,0.28,0.28,-65.71999999999998,4.91025641025641,0.1,2.8000000000000003
small_world,"seed[t=40,frac=0.1]",0.15,0.05,2.0,2.1,250,0.52,1.0,0.4995998398718719,0.52,28.23076923076923,28.23076923076923,135.16,47.0,0.28,0.28,-57.31999999999999,21.064102564102562,0.1,2.8000000000000003
small_world,"seed[t=80,frac=0.1]",0.15,0.05,2.0,2.1,250,0.52,1.0,0.4995998398718719,0.52,49.76923076923077,49.76923076923077,146.36,87.0,0.28,0.28,-46.119999999999976,42.6025641025641,0.1,2.8000000000000003
small_world,"seed[t=10,frac=0.05]",0.15,0.05,2.0,2.1,250,0.28,0.0,0.44899888641287294,0.28,8.428571428571429,8.428571428571429,183.08,251.0,0.040000000000000036,0.040000000000000036,-9.399999999999977,1.2619047619047619,0.05,0.8000000000000007
small_world,"seed[t=40,frac=0.05]",0.15,0.05,2.0,2.1,250,0.28,0.0,0.44899888641287294,0.28,12.714285714285714,12.714285714285714,184.28,251.0,0.040000000000000036,0.040000000000000036,-8.199999999999989,5.547619047619047,0.05,0.8000000000000007
