network,policy,X0_frac,I0,beta_I,ratio,T,X_final_mean,X_final_median,X_final_sd,P_high,t_to_0p8_mean,t_to_0p8_mean_cond,t80_censored_mean,t80_censored_median,dP_high,dX_final,dt80_cens,dt80_cond,cost,dP_per_cost
BA,"seed[t=10,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,6.24,6.24,6.24,10.0,0.6,0.5834,-144.6,5.640000000000001,0.1,5.999999999999999
BA,"seed[t=40,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,24.24,24.24,24.24,40.0,0.6,0.5834,-126.60000000000001,23.639999999999997,0.1,5.999999999999999
BA,"seed[t=80,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,48.24,48.24,48.24,80.0,0.6,0.5834,-102.6,47.64,0.1,5.999999999999999
BA,"seed[t=10,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,6.090909090909091,6.090909090909091,35.48,10.0,0.48,0.4780000000000001,-115.36000000000001,5.490909090909091,0.05,9.6
BA,"seed[t=40,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,22.454545454545453,22.454545454545453,49.88,40.0,0.48,0.4780000000000001,-100.96000000000001,21.854545454545452,0.05,9.6
ER,"subsidy[0-60,da0=0.6]",0.35,0.05,2.0,2.1,250,0.9998,1.0,0.0009797958971132722,1.0,1.44,1.44,1.44,1.0,0.84,0.7936,-209.8,-1.06,36.0,0.02333333333333333
ER,"subsidy[0-60,da0=0.4]",0.35,0.05,2.0,2.1,250,0.8572,1.0,0.3271424154706937,0.84,2.0952380952380953,2.0952380952380953,41.92,2.0,0.6799999999999999,0.6509999999999999,-169.32,-0.40476190476190466,24.0,0.028333333333333332
ER,"subsidy[0-60,da0=0.2]",0.35,0.05,2.0,2.1,250,0.6714,1.0,0.438867907234056,0.64,2.625,2.625,92.04,4.0,0.48,0.46519999999999995,-119.2,0.125,12.0,0.04
ER,"seed[t=10,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,9.25,9.25,134.96,251.0,0.31999999999999995,0.2874,-76.28,6.75,0.1,3.1999999999999993
ER,"seed[t=40,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,29.25,29.25,144.56,251.0,0.31999999999999995,0.2874,-66.68,26.75,0.1,3.1999999999999993
grid,"seed[t=10,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,10.24,10.24,10.24,11.0,0.8,0.7991836734693878,-192.07999999999998,2.6400000000000006,0.02,40.0
grid,"seed[t=10,frac=0.05]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,10.24,10.24,10.24,11.0,0.8,0.7991836734693878,-192.07999999999998,2.6400000000000006,0.05,16.0
grid,"seed[t=10,frac=0.1]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,9.44,9.44,9.44,10.0,0.8,0.7991836734693878,-192.88,1.8399999999999999,0.1,8.0
grid,"seed[t=40,frac=0.02]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,34.32,34.32,34.32,41.0,0.8,0.7991836734693878,-168.0,26.72,0.02,40.0
grid,"seed[t=40,frac=0.05]",0.05,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,34.32,34.32,34.32,41.0,0.8,0.7991836734693878,-168.0,26.72,0.05,16.0
small_world,"seed[t=10,frac=0.1]",0.15,0.05,2.0,2.1,250,0.52,1.0,0.4995998398718719,0.52,12.076923076923077,12.076923076923077,126.76,17.0,0.28,0.28,-65.71999999999998,4.91025641025641,0.1,2.8000000000000003
small_world,"seed[t=40,frac=0.1]",0.15,0.05,2.0,2.1,250,0.52,1.0,0.4995998398718719,0.52,28.23076923076923,28.23076923076923,135.16,47.0,0.28,0.28,-57.31999999999999,21.064102564102562,0.1,2.8000000000000003
small_world,"seed[t=80,frac=0.1]",0.15,0.05,2.0,2.1,250,0.52,1.0,0.4995998398718719,0.52,49.76923076923077,49.76923076923077,146.36,87.0,0.28,0.28,-46.119999999999976,42.6025641025641,0.1,2.8000000000000003
small_world,"subsidy[0-60,da0=0.6]",0.15,0.05,2.0,2.1,250,0.44,0.0,0.4963869458396343,0.44,5.0,5.0,142.76,251.0,0.2,0.2,-49.72,-2.166666666666667,36.0,0.005555555555555556
small_world,"subsidy[0-60,da0=0.4]",0.15,0.05,2.0,2.1,250,0.4,0.0,0.48989794855663565,0.4,5.2,5.2,152.68,251.0,0.16000000000000003,0.16000000000000003,-39.79999999999998,-1.9666666666666668,24.0,0.006666666666666668
